Date,Price
2017-06-16,76.7
2017-06-17,76.46
2017-06-18,76.14
2017-06-19,75.88
2017-06-20,75.78
2017-06-21,75.79
2017-06-22,75.68
2017-06-23,75.46
2017-06-24,75.23
2017-06-25,74.95
2017-06-26,74.79
2017-06-27,74.71
2017-06-28,74.71
2017-06-29,74.71
2017-06-30,74.56
2017-07-01,74.3
2017-07-02,74.28
2017-07-03,74.35
2017-07-04,74.3
2017-07-05,74.3
2017-07-06,74.41
2017-07-07,74.54
2017-07-08,74.67
2017-07-09,74.86
2017-07-10,75.04
2017-07-11,73.27
2017-07-12,73.27
2017-07-13,73.25
2017-07-14,73.23
2017-07-15,73.37
2017-07-16,73.45
2017-07-17,73.49
2017-07-18,73.54
2017-07-19,73.54
2017-07-20,73.59
2017-07-21,73.61
2017-07-22,73.63
2017-07-23,73.74
2017-07-24,73.87
2017-07-25,73.9
2017-07-26,73.91
2017-07-27,73.92
2017-07-28,74.02
2017-07-29,74.2
2017-07-30,74.33
2017-07-31,74.58
2017-08-01,74.56
2017-08-02,74.63
2017-08-03,74.85
2017-08-04,75.15
2017-08-05,75.43
2017-08-06,75.66
2017-08-07,75.8
2017-08-08,75.89
2017-08-09,75.96
2017-08-10,76.1
2017-08-11,76.41
2017-08-12,76.64
2017-08-13,76.89
2017-08-14,77.09
2017-08-15,77.21
2017-08-16,77.27
2017-08-17,77.37
2017-08-18,77.42
2017-08-19,77.5
2017-08-20,77.51
2017-08-21,77.66
2017-08-22,77.79
2017-08-23,77.86
2017-08-24,78.0
2017-08-25,78.13
2017-08-26,78.14
2017-08-27,78.18
2017-08-28,78.22
2017-08-29,78.24
2017-08-30,78.24
2017-08-31,78.28
2017-09-01,78.38
2017-09-02,78.54
2017-09-03,78.67
2017-09-04,78.78
2017-09-05,78.82
2017-09-06,78.82
2017-09-07,78.92
2017-09-08,79.0
2017-09-09,79.14
2017-09-10,79.28
2017-09-11,79.41
2017-09-12,79.48
2017-09-13,79.48
2017-09-14,79.5
2017-09-15,79.54
2017-09-16,79.59
2017-09-17,79.62
2017-09-18,79.62
2017-09-19,79.63
2017-09-20,79.63
2017-09-21,79.63
2017-09-22,79.58
2017-09-23,79.53
2017-09-24,79.5
2017-09-25,79.52
2017-09-26,79.52
2017-09-27,79.52
2017-09-28,79.57
2017-09-29,79.67
2017-09-30,79.77
2017-10-01,79.87
2017-10-02,79.94
2017-10-03,79.99
2017-10-04,77.51
2017-10-05,77.51
2017-10-06,77.49
2017-10-07,77.48
2017-10-08,77.52
2017-10-09,77.58
2017-10-10,77.58
2017-10-11,75.59
2017-10-12,75.57
2017-10-13,75.55
2017-10-14,75.5
2017-10-15,75.45
2017-10-16,75.41
2017-10-17,75.38
2017-10-18,75.38
2017-10-19,75.45
2017-10-20,75.52
2017-10-21,75.56
2017-10-22,75.69
2017-10-23,75.71
2017-10-24,75.71
2017-10-25,75.73
2017-10-26,75.76
2017-10-27,75.83
2017-10-28,75.95
2017-10-29,76.03
2017-10-30,76.18
2017-10-31,76.24
2017-11-01,76.25
2017-11-02,76.36
2017-11-03,76.45
2017-11-04,76.57
2017-11-05,76.65
2017-11-06,76.79
2017-11-07,76.9
2017-11-08,76.9
2017-11-09,76.95
2017-11-10,76.95
2017-11-11,76.91
2017-11-12,76.88
2017-11-13,76.88
2017-11-14,76.83
2017-11-15,76.78
2017-11-16,76.75
2017-11-17,76.71
2017-11-18,76.67
2017-11-19,76.64
2017-11-20,76.61
2017-11-21,76.63
2017-11-22,76.58
2017-11-23,76.54
2017-11-24,76.52
2017-11-25,76.52
2017-11-26,76.52
2017-11-27,76.52
2017-11-28,76.52
2017-11-29,76.52
2017-11-30,76.52
2017-12-01,76.52
2017-12-02,76.52
2017-12-03,76.54
2017-12-04,76.56
2017-12-05,76.59
2017-12-06,76.6
2017-12-07,76.61
2017-12-08,76.61
2017-12-09,76.62
2017-12-10,76.61
2017-12-11,76.62
2017-12-12,76.64
2017-12-13,76.66
2017-12-14,76.69
2017-12-15,76.78
2017-12-16,76.88
2017-12-17,76.99
